commande_id,client_id,date,produit,quantite,montant_fcfa
CMD0067,CL076,2025-09-27,Pack Entreprise,2,100000
CMD0068,CL001,2026-06-03,Pack Premium,1,5000
CMD0069,CL159,2026-01-08,Pack Entreprise,1,50000
CMD0070,CL185,2025-03-06,Service X,5,75000
CMD0071,CL049,2026-06-21,Service X,3,250000
CMD0072,CL040,2025-10-17,Produit C,3,50000
CMD0073,CL029,2025-04-09,Pack Entreprise,1,5000
CMD0074,CL034,2025-07-02,Produit A,1,10000
CMD0075,CL125,2025-07-16,Produit A,1,75000
CMD0076,CL169,2026-05-17,Pack Entreprise,5,35000
CMD0077,CL013,2026-01-11,Produit B,5,10000
CMD0078,CL004,2025-08-02,Service X,3,10000
CMD0079,CL120,2025-03-04,Produit C,5,75000
CMD0080,CL095,2025-03-01,Pack Entreprise,2,250000
CMD0081,CL011,2025-03-14,Produit C,1,25000
CMD0082,CL133,2025-04-10,Produit A,1,250000
CMD0083,CL099,2025-07-14,Produit B,5,25000
CMD0084,CL146,2025-07-03,Pack Entreprise,5,75000
CMD0085,CL192,2025-04-19,Service X,5,50000
CMD0086,CL173,2026-04-15,Service X,3,10000
CMD0087,CL043,2025-07-04,Pack Entreprise,3,250000
CMD0088,CL087,2025-06-11,Pack Entreprise,5,100000
CMD0089,CL091,2025-11-19,Pack Entreprise,2,50000
CMD0090,CL106,2026-03-17,Service X,2,25000
CMD0091,CL145,2026-07-13,Produit B,3,250000
CMD0092,CL191,2025-09-18,Produit C,3,100000
CMD0093,CL102,2025-01-01,Service X,1,35000
CMD0094,CL153,2025-01-17,Pack Entreprise,1,35000
CMD0095,CL002,2025-11-04,Produit B,1,50000
CMD0096,CL006,2025-10-10,Pack Entreprise,5,250000
CMD0097,CL147,2026-08-09,Produit B,1,5000
CMD0098,CL118,2025-12-31,Produit B,1,35000
CMD0099,CL094,2026-08-20,Produit B,1,35000
CMD0100,CL077,2025-04-05,Pack Entreprise,3,25000
CMD0101,CL188,2025-03-21,Service X,2,100000
CMD0102,CL045,2026-05-15,Service X,5,10000
CMD0103,CL153,2025-11-04,Produit A,5,75000
CMD0104,CL021,2025-02-27,Produit C,2,75000
CMD0105,CL107,2025-05-04,Produit B,5,5000
CMD0106,CL163,2026-01-27,Produit A,2,250000
CMD0107,CL011,2025-11-23,Pack Entreprise,5,15000
CMD0108,CL084,2026-05-30,Service X,1,15000
CMD0109,CL013,2026-02-07,Pack Premium,5,250000
CMD0110,CL024,2025-08-16,Pack Premium,2,75000
CMD0111,CL038,2025-05-16,Produit C,1,100000
CMD0112,CL147,2025-02-20,Pack Entreprise,3,35000
CMD0113,CL022,2026-02-13,Pack Entreprise,3,15000
CMD0114,CL196,2025-05-19,Pack Premium,5,25000
CMD0115,CL125,2026-02-09,Service X,5,25000
CMD0116,CL144,2026-06-21,Produit B,1,10000
CMD0117,CL069,2026-03-17,Produit C,5,10000
CMD0118,CL029,2026-02-28,Pack Premium,2,50000
CMD0119,CL049,2025-11-25,Produit C,5,5000
CMD0120,CL198,2025-11-09,Produit B,2,100000
CMD0121,CL160,2025-05-30,Pack Premium,1,25000
CMD0122,CL052,2026-01-18,Produit B,1,10000
CMD0123,CL190,2025-02-25,Produit B,5,15000
CMD0124,CL074,2025-01-15,Produit C,1,35000
CMD0125,CL116,2026-04-28,Produit A,2,25000
CMD0126,CL190,2026-07-05,Produit B,1,250000
CMD0127,CL134,2025-09-22,Pack Entreprise,3,15000
CMD0128,CL178,2025-01-19,Pack Premium,5,250000
CMD0129,CL012,2025-09-19,Produit B,1,35000
CMD0130,CL052,2025-10-05,Produit A,3,5000
CMD0131,CL018,2026-02-02,Service X,2,50000
CMD0132,CL028,2025-01-20,Produit C,3,25000
CMD0133,CL098,2026-06-05,Service X,1,50000
CMD0134,CL125,2026-09-04,Pack Entreprise,1,15000
CMD0135,CL051,2026-05-28,Pack Premium,5,5000
CMD0136,CL011,2025-09-11,Pack Entreprise,2,50000
CMD0137,CL126,2026-02-07,Service X,1,5000
CMD0138,CL089,2025-12-27,Produit C,2,25000
CMD0139,CL129,2025-10-10,Produit A,2,75000
CMD0140,CL008,2026-07-23,Produit C,1,15000
CMD0141,CL088,2026-02-07,Service X,1,10000
CMD0142,CL187,2026-01-27,Pack Entreprise,5,25000
CMD0143,CL107,2025-09-04,Pack Entreprise,1,75000
CMD0144,CL080,2025-12-04,Pack Premium,5,15000
CMD0145,CL053,2025-05-22,Pack Entreprise,5,25000
CMD0146,CL036,2025-11-13,Service X,5,15000
CMD0147,CL111,2025-05-29,Service X,5,15000
CMD0148,CL082,2025-03-11,Pack Entreprise,5,10000
CMD0149,CL048,2025-11-22,Produit B,1,50000
CMD0150,CL106,2026-02-26,Produit C,3,35000
CMD0151,CL039,2025-07-12,Produit A,1,15000
CMD0152,CL007,2025-10-01,Pack Entreprise,5,25000
CMD0153,CL153,2025-08-26,Produit B,1,50000
CMD0154,CL021,2026-05-04,Produit B,5,100000
CMD0155,CL183,2026-01-18,Produit B,3,100000
CMD0156,CL122,2025-05-21,Produit B,1,25000
CMD0157,CL009,2026-02-23,Produit A,2,75000
CMD0158,CL057,2025-07-27,Produit B,1,15000
CMD0159,CL113,2026-05-17,Service X,2,100000
CMD0160,CL064,2026-03-14,Pack Premium,1,75000
CMD0161,CL185,2025-11-17,Pack Premium,5,250000
CMD0162,CL135,2025-02-09,Pack Entreprise,1,100000
CMD0163,CL117,2025-02-13,Produit B,5,250000
CMD0164,CL102,2025-02-10,Pack Entreprise,3,250000
CMD0165,CL196,2025-02-20,Produit B,2,100000
CMD0166,CL102,2025-11-08,Produit C,3,15000
CMD0167,CL109,2025-10-29,Pack Entreprise,1,250000
CMD0168,CL037,2026-04-20,Service X,3,10000
CMD0169,CL185,2026-05-28,Produit A,1,250000
CMD0170,CL035,2026-02-07,Pack Premium,2,100000
CMD0171,CL007,2025-07-03,Pack Premium,5,25000
CMD0172,CL117,2025-04-03,Produit C,2,15000
CMD0173,CL184,2025-05-07,Produit A,1,100000
CMD0174,CL163,2026-01-07,Produit A,5,75000
CMD0175,CL187,2026-06-08,Pack Entreprise,1,75000
CMD0176,CL141,2026-01-25,Produit A,1,50000
CMD0177,CL145,2025-06-03,Produit B,1,15000
CMD0178,CL197,2025-02-22,Pack Premium,2,35000
CMD0179,CL187,2026-04-02,Produit C,1,10000
CMD0180,CL034,2025-07-27,Produit A,5,35000
CMD0181,CL004,2026-04-15,Pack Premium,3,250000
CMD0182,CL002,2026-05-21,Produit B,1,100000
CMD0183,CL117,2026-02-24,Pack Premium,1,5000
CMD0184,CL063,2026-07-15,Produit C,5,250000
CMD0185,CL054,2025-02-20,Produit B,1,5000
CMD0186,CL168,2025-12-24,Produit A,1,5000
CMD0187,CL171,2026-08-15,Pack Entreprise,2,50000
CMD0188,CL023,2025-02-20,Produit A,3,15000
CMD0189,CL042,2025-10-19,Pack Entreprise,5,250000
CMD0190,CL046,2026-04-12,Service X,5,50000
CMD0191,CL010,2025-04-06,Produit C,2,50000
CMD0192,CL098,2025-03-11,Pack Premium,5,10000
CMD0193,CL075,2026-04-28,Produit B,1,35000
CMD0194,CL085,2026-06-24,Pack Premium,5,25000
CMD0195,CL179,2025-08-03,Pack Entreprise,1,10000
CMD0196,CL147,2026-06-26,Produit A,3,35000
CMD0197,CL110,2025-11-21,Produit C,5,50000
CMD0198,CL034,2026-07-31,Pack Premium,5,100000
CMD0199,CL127,2025-07-04,Pack Entreprise,1,35000
CMD0200,CL050,2025-01-02,Produit A,1,100000
CMD0201,CL161,2025-05-01,Service X,1,75000
CMD0202,CL106,2025-02-16,Produit C,2,250000
CMD0203,CL164,2025-08-06,Produit A,1,35000
CMD0204,CL066,2025-03-11,Produit C,2,250000
CMD0205,CL141,2025-11-28,Produit A,1,50000
CMD0206,CL088,2026-02-10,Service X,5,5000
CMD0207,CL045,2025-07-18,Produit C,2,100000
CMD0208,CL122,2025-02-06,Service X,1,100000
CMD0209,CL040,2026-04-17,Pack Entreprise,2,100000
CMD0210,CL106,2025-02-27,Pack Entreprise,2,50000
CMD0211,CL143,2026-07-03,Produit A,1,50000
CMD0212,CL091,2025-03-09,Produit B,2,5000
CMD0213,CL087,2026-01-20,Service X,5,15000
CMD0214,CL147,2026-02-03,Produit B,5,10000
CMD0215,CL193,2025-11-12,Service X,2,5000
CMD0216,CL070,2026-02-28,Produit A,3,25000
CMD0217,CL096,2026-04-08,Produit C,1,250000
CMD0218,CL078,2025-06-29,Produit A,2,5000
CMD0219,CL200,2025-07-26,Produit A,3,250000
CMD0220,CL007,2026-05-10,Pack Entreprise,1,25000
CMD0221,CL088,2026-05-11,Service X,5,35000
CMD0222,CL199,2025-12-02,Produit B,1,250000
CMD0223,CL174,2025-05-16,Produit B,1,100000
CMD0224,CL100,2026-06-19,Produit A,1,35000
CMD0225,CL012,2026-09-01,Produit A,2,100000
CMD0226,CL012,2025-04-16,Pack Entreprise,2,5000
CMD0227,CL148,2025-11-16,Service X,1,50000
CMD0228,CL052,2025-07-17,Produit C,2,250000
CMD0229,CL082,2026-03-28,Service X,1,35000
CMD0230,CL039,2025-06-11,Produit C,1,5000
CMD0231,CL160,2026-07-28,Pack Entreprise,1,25000
CMD0232,CL139,2025-12-25,Pack Entreprise,2,35000
CMD0233,CL037,2025-10-18,Pack Entreprise,1,15000
CMD0234,CL019,2025-11-15,Pack Entreprise,2,250000
CMD0235,CL114,2025-02-21,Produit B,1,100000
CMD0236,CL173,2025-02-21,Produit A,3,5000
CMD0237,CL023,2026-03-13,Pack Premium,1,100000
CMD0238,CL158,2025-12-31,Produit C,2,25000
CMD0239,CL183,2026-07-01,Produit A,3,15000
CMD0240,CL024,2026-04-25,Produit A,3,35000
CMD0241,CL176,2026-04-22,Pack Premium,1,25000
CMD0242,CL037,2025-09-22,Produit C,3,15000
CMD0243,CL180,2025-12-05,Produit C,3,100000
CMD0244,CL008,2025-03-08,Pack Premium,1,50000
CMD0245,CL123,2026-04-18,Produit B,2,50000
CMD0246,CL155,2026-08-12,Produit B,5,10000
CMD0247,CL104,2025-04-20,Produit C,5,10000
CMD0248,CL078,2026-06-30,Pack Premium,3,75000
CMD0249,CL062,2025-09-07,Pack Entreprise,1,100000
CMD0250,CL099,2025-03-09,Produit C,1,75000
CMD0251,CL112,2026-08-04,Produit C,5,25000
CMD0252,CL045,2025-03-21,Service X,5,100000
CMD0253,CL030,2026-08-30,Pack Entreprise,3,50000
CMD0254,CL143,2025-04-10,Pack Premium,1,35000
CMD0255,CL104,2025-03-13,Pack Entreprise,1,75000
CMD0256,CL084,2026-05-22,Service X,1,10000
CMD0257,CL056,2025-05-23,Pack Entreprise,1,15000
CMD0258,CL170,2025-06-02,Pack Premium,5,35000
CMD0259,CL100,2026-08-15,Pack Premium,1,25000
CMD0260,CL175,2025-11-21,Produit C,5,35000
CMD0261,CL112,2025-12-19,Produit A,5,5000
CMD0262,CL157,2026-06-07,Pack Premium,1,35000
CMD0263,CL016,2026-01-14,Pack Entreprise,1,5000
CMD0264,CL181,2026-07-28,Produit C,1,35000
CMD0265,CL008,2025-08-29,Pack Premium,5,75000
CMD0266,CL161,2025-11-22,Service X,3,75000
CMD0267,CL098,2026-03-22,Pack Entreprise,1,15000
CMD0268,CL122,2025-05-23,Produit B,5,75000
CMD0269,CL093,2026-03-04,Produit B,2,15000
CMD0270,CL035,2025-01-12,Produit A,1,15000
CMD0271,CL185,2026-05-14,Service X,3,15000
CMD0272,CL022,2025-05-21,Service X,3,100000
CMD0273,CL179,2026-03-12,Pack Entreprise,1,100000
CMD0274,CL131,2026-03-11,Pack Entreprise,3,75000
CMD0275,CL091,2025-08-20,Produit B,3,5000
CMD0276,CL148,2026-05-26,Service X,1,250000
CMD0277,CL069,2026-02-25,Pack Entreprise,5,50000
CMD0278,CL009,2025-02-08,Pack Entreprise,3,50000
CMD0279,CL029,2026-08-18,Pack Premium,1,15000
CMD0280,CL187,2026-06-24,Produit C,3,250000
CMD0281,CL021,2026-06-20,Pack Entreprise,1,25000
CMD0282,CL121,2025-03-21,Service X,5,35000
CMD0283,CL157,2025-02-24,Produit C,5,5000
CMD0284,CL121,2026-04-10,Pack Entreprise,3,50000
CMD0285,CL108,2025-12-28,Produit C,2,15000
CMD0286,CL010,2026-09-04,Service X,2,35000
CMD0287,CL016,2026-04-30,Pack Entreprise,1,5000
CMD0288,CL169,2025-10-26,Service X,5,5000
CMD0289,CL074,2026-05-12,Produit A,1,250000
CMD0290,CL020,2025-10-12,Produit C,1,35000
CMD0291,CL071,2025-09-21,Produit A,1,15000
CMD0292,CL152,2025-06-04,Service X,3,50000
CMD0293,CL045,2025-09-25,Service X,1,100000
CMD0294,CL047,2026-06-25,Produit A,2,10000
CMD0295,CL038,2026-09-02,Produit B,3,75000
CMD0296,CL198,2026-01-28,Produit B,3,15000
CMD0297,CL054,2026-08-15,Service X,2,5000
CMD0298,CL165,2025-09-28,Produit A,1,15000
CMD0299,CL119,2026-02-13,Pack Premium,2,100000
CMD0300,CL192,2026-06-30,Produit B,3,75000
CMD0301,CL122,2025-09-26,Produit B,5,75000
CMD0302,CL004,2025-10-23,Pack Premium,3,50000
CMD0303,CL136,2025-02-12,Produit A,5,50000
CMD0304,CL111,2025-10-07,Produit C,2,35000
CMD0305,CL026,2025-09-19,Service X,5,75000
CMD0306,CL119,2025-09-05,Service X,5,25000
CMD0307,CL134,2025-12-12,Service X,1,50000
CMD0308,CL141,2025-01-11,Service X,1,10000
CMD0309,CL004,2026-02-26,Produit A,5,10000
CMD0310,CL176,2026-04-02,Produit C,1,35000
CMD0311,CL065,2025-07-17,Produit A,1,10000
CMD0312,CL015,2026-09-01,Service X,1,10000
CMD0313,CL182,2025-05-03,Produit A,5,15000
CMD0314,CL097,2026-08-03,Produit B,1,15000
CMD0315,CL065,2025-10-29,Pack Premium,1,100000
CMD0316,CL071,2026-03-14,Service X,2,35000
CMD0317,CL042,2025-03-17,Produit C,1,75000
CMD0318,CL100,2025-12-07,Produit A,2,35000
CMD0319,CL046,2026-03-28,Produit A,3,25000
CMD0320,CL157,2026-02-07,Produit B,3,10000
CMD0321,CL037,2026-07-08,Pack Premium,1,10000
CMD0322,CL114,2025-09-23,Produit A,1,10000
CMD0323,CL019,2026-08-09,Service X,2,100000
CMD0324,CL005,2026-05-25,Produit B,1,5000
CMD0325,CL171,2026-02-04,Produit C,1,50000
CMD0326,CL101,2026-08-12,Produit A,5,100000
CMD0327,CL123,2026-03-23,Pack Premium,1,250000
CMD0328,CL058,2025-01-04,Pack Premium,3,10000
CMD0329,CL146,2026-07-03,Produit C,2,35000
CMD0330,CL103,2025-02-26,Service X,1,50000
CMD0331,CL137,2025-12-15,Produit A,3,35000
CMD0332,CL166,2025-07-27,Produit B,5,5000
CMD0333,CL099,2025-07-15,Produit C,3,10000
CMD0334,CL162,2026-01-03,Pack Premium,1,100000
CMD0335,CL189,2025-07-14,Produit B,1,25000
CMD0336,CL007,2026-08-31,Produit B,3,75000
CMD0337,CL017,2026-07-08,Service X,2,100000
CMD0338,CL137,2026-04-06,Produit A,1,50000
CMD0339,CL015,2025-12-12,Service X,1,75000
CMD0340,CL031,2025-08-05,Service X,5,100000
CMD0341,CL174,2026-07-04,Produit B,5,25000
CMD0342,CL019,2025-02-07,Service X,1,100000
CMD0343,CL168,2025-01-20,Pack Premium,5,5000
CMD0344,CL063,2025-05-14,Produit A,1,5000
CMD0345,CL079,2025-04-10,Pack Premium,5,15000
CMD0346,CL152,2025-03-07,Produit A,1,100000
CMD0347,CL153,2025-08-14,Produit A,1,75000
CMD0348,CL087,2026-02-16,Produit C,1,250000
CMD0349,CL036,2025-11-26,Produit B,1,15000
CMD0350,CL086,2025-03-06,Produit A,2,15000
CMD0351,CL194,2026-03-02,Produit B,2,250000
CMD0352,CL043,2026-03-26,Produit B,5,5000
CMD0353,CL035,2025-04-13,Service X,5,75000
CMD0354,CL200,2025-06-11,Produit A,3,10000
CMD0355,CL002,2025-01-08,Produit B,1,35000
CMD0356,CL107,2026-05-03,Service X,1,25000
CMD0357,CL037,2025-10-05,Pack Entreprise,3,75000
CMD0358,CL062,2025-06-28,Pack Entreprise,1,15000
CMD0359,CL184,2026-05-27,Pack Entreprise,1,35000
CMD0360,CL090,2026-03-05,Produit A,5,25000
CMD0361,CL050,2025-05-01,Pack Entreprise,1,50000
CMD0362,CL195,2026-07-07,Pack Entreprise,1,100000
CMD0363,CL198,2025-08-02,Produit C,1,25000
CMD0364,CL029,2025-06-02,Service X,3,100000
CMD0365,CL046,2025-06-13,Service X,1,5000
CMD0366,CL166,2026-01-08,Produit C,1,75000
CMD0367,CL065,2025-12-09,Pack Entreprise,3,5000
CMD0368,CL027,2025-02-23,Pack Entreprise,1,15000
CMD0369,CL008,2026-05-12,Pack Entreprise,1,10000
CMD0370,CL061,2026-04-01,Pack Entreprise,5,50000
CMD0371,CL108,2025-07-23,Service X,2,25000
CMD0372,CL200,2025-04-23,Produit C,1,10000
CMD0373,CL061,2026-02-27,Produit B,3,25000
CMD0374,CL019,2026-04-28,Pack Entreprise,3,5000
CMD0375,CL112,2025-05-29,Produit B,5,100000
CMD0376,CL046,2026-02-01,Produit C,1,100000
CMD0377,CL185,2025-07-18,Service X,2,35000
CMD0378,CL052,2025-12-10,Produit B,1,5000
CMD0379,CL072,2025-05-20,Produit A,3,100000
CMD0380,CL108,2025-06-25,Produit C,1,35000
CMD0381,CL155,2025-06-10,Service X,5,15000
CMD0382,CL148,2026-07-21,Produit B,1,75000
CMD0383,CL134,2026-05-16,Produit B,5,100000
CMD0384,CL119,2025-10-13,Produit A,3,25000
CMD0385,CL064,2025-12-02,Pack Premium,5,25000
CMD0386,CL152,2025-06-02,Pack Entreprise,1,75000
CMD0387,CL012,2025-02-11,Pack Premium,5,5000
CMD0388,CL109,2026-06-28,Pack Premium,3,10000
CMD0389,CL116,2026-05-23,Produit B,1,250000
CMD0390,CL193,2025-01-13,Service X,3,25000
CMD0391,CL034,2026-01-03,Produit C,1,10000
CMD0392,CL005,2026-05-07,Service X,2,15000
CMD0393,CL181,2026-04-16,Pack Entreprise,5,5000
CMD0394,CL117,2026-04-20,Produit B,3,15000
CMD0395,CL095,2026-04-21,Service X,1,10000
CMD0396,CL099,2025-12-07,Pack Entreprise,1,35000
CMD0397,CL110,2025-10-04,Service X,5,250000
CMD0398,CL148,2025-08-01,Service X,1,50000
CMD0399,CL189,2025-02-26,Pack Entreprise,2,5000
CMD0400,CL029,2026-01-28,Produit C,3,5000
CMD0401,CL094,2026-01-11,Produit B,5,10000
CMD0402,CL144,2025-07-29,Produit B,2,25000
CMD0403,CL139,2025-04-27,Service X,3,25000
CMD0404,CL193,2025-08-19,Produit C,2,35000
CMD0405,CL129,2026-03-10,Produit C,1,10000
CMD0406,CL096,2025-12-20,Pack Premium,3,250000
CMD0407,CL135,2025-05-06,Pack Premium,5,250000
CMD0408,CL075,2026-04-08,Pack Entreprise,2,10000
CMD0409,CL049,2026-04-14,Produit A,1,75000
CMD0410,CL046,2025-10-23,Produit A,1,15000
CMD0411,CL071,2025-04-25,Service X,1,100000
CMD0412,CL039,2025-07-29,Pack Entreprise,1,35000
CMD0413,CL107,2026-07-09,Produit B,3,50000
CMD0414,CL108,2026-03-31,Service X,1,35000
CMD0415,CL049,2025-03-06,Produit A,1,250000
CMD0416,CL166,2025-12-10,Pack Premium,5,50000
CMD0417,CL168,2025-12-01,Pack Premium,5,250000
CMD0418,CL141,2026-04-01,Pack Premium,2,15000
CMD0419,CL079,2025-06-25,Produit C,1,100000
CMD0420,CL096,2025-10-23,Produit A,1,50000
CMD0421,CL073,2026-04-12,Produit B,5,15000
CMD0422,CL183,2026-07-03,Produit C,1,15000
CMD0423,CL182,2025-06-07,Produit B,1,10000
CMD0424,CL011,2025-11-21,Pack Entreprise,1,100000
CMD0425,CL067,2026-01-14,Produit B,1,250000
CMD0426,CL182,2025-02-05,Service X,2,50000
CMD0427,CL038,2026-01-17,Pack Premium,5,15000
CMD0428,CL137,2025-11-05,Produit A,1,75000
CMD0429,CL128,2025-05-29,Pack Premium,2,15000
CMD0430,CL002,2026-07-14,Pack Entreprise,2,35000
CMD0431,CL122,2025-10-24,Pack Entreprise,1,100000
CMD0432,CL087,2025-04-26,Service X,3,5000
CMD0433,CL036,2026-07-19,Produit A,2,5000
CMD0434,CL103,2025-08-14,Pack Premium,2,10000
CMD0435,CL084,2025-02-26,Pack Entreprise,1,250000
CMD0436,CL057,2025-10-12,Produit B,1,10000
CMD0437,CL138,2026-04-02,Service X,1,250000
CMD0438,CL101,2025-07-19,Pack Premium,2,250000
CMD0439,CL015,2026-01-05,Pack Premium,1,75000
CMD0440,CL095,2026-01-31,Produit C,1,35000
CMD0441,CL089,2025-12-26,Produit C,3,250000
CMD0442,CL023,2025-08-09,Service X,3,75000
CMD0443,CL114,2025-10-23,Produit B,3,75000
CMD0444,CL036,2026-08-25,Pack Entreprise,1,15000
CMD0445,CL054,2025-11-07,Pack Premium,5,50000
CMD0446,CL017,2026-08-28,Pack Premium,1,5000
CMD0447,CL105,2025-10-07,Pack Premium,1,250000
CMD0448,CL119,2026-08-05,Produit B,1,15000
CMD0449,CL098,2025-10-24,Pack Entreprise,3,5000
CMD0450,CL078,2026-08-23,Produit C,3,250000
CMD0451,CL190,2026-04-20,Produit B,1,5000
CMD0452,CL040,2025-09-26,Produit C,3,10000
CMD0453,CL168,2025-10-22,Pack Premium,1,100000
CMD0454,CL177,2025-09-08,Produit A,1,35000
CMD0455,CL127,2025-03-10,Pack Entreprise,2,100000
CMD0456,CL145,2026-03-23,Produit C,3,10000
CMD0457,CL096,2026-06-09,Service X,5,5000
CMD0458,CL067,2025-06-16,Pack Entreprise,1,15000
CMD0459,CL082,2026-04-18,Service X,1,50000
CMD0460,CL042,2025-02-24,Produit C,2,75000
CMD0461,CL163,2025-12-31,Produit A,2,35000
CMD0462,CL136,2025-03-20,Pack Entreprise,1,15000
CMD0463,CL196,2025-04-07,Pack Entreprise,1,250000
CMD0464,CL083,2025-11-20,Service X,2,35000
CMD0465,CL176,2026-01-07,Produit A,5,50000
CMD0466,CL037,2025-01-14,Produit B,5,35000
CMD0467,CL096,2026-05-12,Pack Premium,2,15000
CMD0468,CL027,2025-08-12,Produit B,5,25000
CMD0469,CL049,2026-07-27,Pack Entreprise,5,250000
CMD0470,CL183,2026-07-19,Service X,1,75000
CMD0471,CL118,2025-03-20,Produit A,1,5000
CMD0472,CL123,2025-12-23,Produit C,2,15000
CMD0473,CL114,2026-09-04,Pack Entreprise,2,15000
CMD0474,CL182,2025-11-08,Produit A,1,25000
CMD0475,CL033,2025-05-26,Service X,1,35000
CMD0476,CL033,2025-08-03,Produit B,1,75000
CMD0477,CL177,2025-04-25,Produit A,1,100000
CMD0478,CL194,2026-03-18,Produit A,1,10000
CMD0479,CL009,2026-06-10,Pack Entreprise,1,100000
CMD0480,CL031,2025-09-17,Produit A,1,35000
CMD0481,CL171,2025-01-11,Produit A,1,25000
CMD0482,CL151,2025-07-24,Produit B,2,5000
CMD0483,CL024,2025-05-30,Service X,2,50000
CMD0484,CL091,2025-06-14,Pack Entreprise,5,25000
CMD0485,CL130,2026-08-07,Produit A,1,5000
CMD0486,CL136,2025-08-11,Service X,1,35000
CMD0487,CL044,2026-07-05,Produit A,1,25000
CMD0488,CL130,2026-05-02,Produit C,5,15000
CMD0489,CL113,2025-04-20,Produit B,2,75000
CMD0490,CL109,2025-08-08,Pack Entreprise,1,75000
CMD0491,CL029,2025-11-18,Produit A,3,10000
CMD0492,CL134,2025-05-20,Pack Premium,2,35000
CMD0493,CL143,2025-02-11,Produit A,2,100000
CMD0494,CL030,2026-01-30,Produit C,3,35000
CMD0495,CL176,2026-03-31,Produit B,5,75000
CMD0496,CL075,2026-03-15,Produit B,1,100000
CMD0497,CL174,2026-01-12,Produit B,1,100000
CMD0498,CL173,2025-04-18,Pack Premium,3,250000
CMD0499,CL169,2025-03-29,Produit A,1,75000
CMD0500,CL103,2026-08-28,Produit A,1,10000
