client_id,age,sexe,ville,segment,canal_acquisition,frequence_achat,satisfaction,nb_commandes,montant_total,montant_moyen,nb_produits_distincts,derniere_commande,premiere_commande,recence_jours,anciennete_jours,produit_favori,note_moyenne,nb_avis,Neutre,Négatif,Positif,nb_reclamations,gravite_totale,derniere_reclamation,nb_non_resolues,score_frequence,score_montant,score_recence,score_diversite,score_valeur,segment_ia,risque_churn,niveau_risque
CL032,22,M,Atakpamé,Premium,Référence,Occasionnelle,2.0,1.0,25000.0,25000.0,1.0,2025-09-12,2025-09-12,357.0,357.0,Pack Premium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,1,1,1.0,Explorateur à risque,58.0,Moyen
CL033,24,M,Tsévié,Dormant,Boutique,,2.0,4.0,370000.0,92500.0,2.0,2026-05-15,2025-05-26,112.0,466.0,Service X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4,4,3,2,3.3333333333333335,Régulier,52.8,Moyen
CL034,31,M,Lomé,Dormant,WhatsApp,Mensuelle,3.0,4.0,155000.0,38750.0,3.0,2026-07-31,2025-07-02,35.0,429.0,Produit A,2.5,2.0,0.0,1.0,1.0,0.0,0.0,,0.0,4,3,4,3,3.3333333333333335,Régulier,14.0,Faible
CL035,55,F,Lomé,Dormant,WhatsApp,Mensuelle,2.0,3.0,190000.0,63333.333333333336,3.0,2026-02-07,2025-01-12,209.0,600.0,Service X,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2026-01-26,1.0,3,3,2,3,3.0,Dormant,63.0,Élevé
CL036,47,M,Kara,Nouveau,Instagram,,1.0,4.0,50000.0,12500.0,4.0,2026-08-25,2025-11-13,10.0,295.0,Service X,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,4,2,4,4,3.3333333333333335,Régulier,20.0,Faible
CL037,35,M,Kara,Dormant,Référence,Occasionnelle,1.0,6.0,160000.0,26666.666666666668,5.0,2026-07-08,2025-01-14,58.0,598.0,Pack Entreprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4,3,3,4,3.6666666666666665,Régulier,39.2,Moyen
CL038,42,M,Kpalimé,Premium,Facebook,Trimestrielle,5.0,3.0,190000.0,63333.333333333336,3.0,2026-09-02,2025-05-16,2.0,476.0,Produit C,4.0,1.0,0.0,0.0,1.0,2.0,4.0,2026-06-09,2.0,3,3,4,3,3.0,Régulier,20.8,Faible
CL039,27,F,Kpalimé,Nouveau,Site web,Mensuelle,2.0,4.0,70000.0,17500.0,3.0,2025-07-29,2025-02-20,402.0,561.0,Pack Entreprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4,2,1,3,3.0,Dormant,53.0,Moyen
CL040,31,F,Agoè-Nyivé,Nouveau,Référence,Trimestrielle,2.0,3.0,160000.0,53333.333333333336,2.0,2026-04-17,2025-09-26,140.0,343.0,Produit C,4.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,3,3,2,2,2.6666666666666665,Régulier,53.0,Moyen
CL041,22,F,Tsévié,Premium,Référence,Trimestrielle,4.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,5.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,1,1,4,1,1.0,Prospect / Jamais acheté,5.0,Faible
CL042,55,M,Tsévié,Dormant,WhatsApp,Mensuelle,2.0,6.0,650000.0,108333.33333333333,3.0,2025-12-18,2025-02-24,260.0,557.0,Pack Entreprise,4.0,3.0,0.0,1.0,2.0,0.0,0.0,,0.0,4,4,2,3,3.6666666666666665,Dormant,53.0,Moyen
CL043,35,F,Agoè-Nyivé,Régulier,Site web,Mensuelle,2.0,2.0,255000.0,127500.0,2.0,2026-03-26,2025-07-04,162.0,427.0,Produit B,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,2,4,2,2,2.6666666666666665,Dormant,53.0,Moyen
CL044,19,,Atakpamé,Régulier,Facebook,Trimestrielle,4.0,1.0,25000.0,25000.0,1.0,2026-07-05,2026-07-05,61.0,61.0,Produit A,4.0,1.0,0.0,0.0,1.0,1.0,3.0,2025-06-29,1.0,1,1,3,1,1.0,Acheteur Opportuniste,39.4,Moyen
CL045,55,F,Kara,Premium,Boutique,Occasionnelle,5.0,5.0,560000.0,112000.0,2.0,2026-05-15,2025-03-21,112.0,532.0,Service X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4,4,3,2,3.3333333333333335,Brand Lover,44.8,Moyen
CL046,19,F,Kpalimé,Nouveau,Facebook,Occasionnelle,4.0,5.0,195000.0,39000.0,3.0,2026-04-12,2025-06-13,145.0,448.0,Service X,2.0,1.0,0.0,0.0,1.0,1.0,3.0,2025-11-22,1.0,4,3,2,3,3.3333333333333335,Brand Lover,55.0,Moyen
CL047,38,M,Lomé,Premium,Référence,Mensuelle,2.0,2.0,15000.0,7500.0,2.0,2026-06-25,2025-07-16,71.0,415.0,Produit C,4.0,1.0,0.0,0.0,1.0,1.0,3.0,2026-04-07,0.0,2,1,3,2,1.6666666666666667,Acheteur Opportuniste,36.4,Moyen
CL048,55,F,Tsévié,Dormant,Site web,Occasionnelle,1.0,1.0,50000.0,50000.0,1.0,2025-11-22,2025-11-22,286.0,286.0,Produit B,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,1,2,1,1,1.3333333333333333,Explorateur à risque,66.0,Élevé
CL049,42,F,Atakpamé,Régulier,Référence,Occasionnelle,5.0,5.0,830000.0,166000.0,4.0,2026-07-27,2025-03-06,39.0,547.0,Produit A,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2026-05-03,0.0,4,4,3,4,4.0,Brand Lover,15.6,Faible
CL050,47,F,Tsévié,Nouveau,Facebook,,2.0,2.0,150000.0,75000.0,2.0,2025-05-01,2025-01-02,491.0,610.0,Produit A,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2025-03-29,1.0,2,3,1,2,2.3333333333333335,Explorateur à risque,63.0,Élevé
CL051,47,M,Tsévié,Régulier,WhatsApp,,3.0,2.0,15000.0,7500.0,2.0,2026-05-28,2026-01-05,99.0,242.0,Pack Premium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2,1,3,2,1.6666666666666667,Acheteur Opportuniste,39.6,Moyen
CL052,24,F,Atakpamé,Dormant,Instagram,,3.0,4.0,270000.0,67500.0,3.0,2026-01-18,2025-07-17,229.0,414.0,Produit B,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2025-08-11,0.0,4,4,2,3,3.6666666666666665,Dormant,45.0,Moyen
CL053,27,F,Lomé,Nouveau,Facebook,,2.0,1.0,25000.0,25000.0,1.0,2025-05-22,2025-05-22,470.0,470.0,Pack Entreprise,3.0,1.0,0.0,0.0,1.0,1.0,3.0,2025-10-07,1.0,1,1,1,1,1.0,Explorateur à risque,68.0,Élevé
CL054,22,,Lomé,Nouveau,WhatsApp,Mensuelle,4.0,4.0,70000.0,17500.0,3.0,2026-08-15,2025-02-20,20.0,561.0,Pack Premium,4.0,1.0,0.0,0.0,1.0,1.0,3.0,2025-08-12,1.0,4,2,4,3,3.0,Brand Lover,18.0,Faible
CL055,29,F,Kara,Nouveau,Facebook,Mensuelle,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,2.0,0.0,1.0,1.0,2.0,4.0,2026-03-28,2.0,1,1,4,1,1.0,Prospect / Jamais acheté,41.0,Moyen
CL056,29,F,Kpalimé,Premium,Référence,Occasionnelle,1.0,1.0,15000.0,15000.0,1.0,2025-05-23,2025-05-23,469.0,469.0,Pack Entreprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,1,1,1.0,Explorateur à risque,66.0,Élevé
CL057,19,F,Agoè-Nyivé,Régulier,WhatsApp,Trimestrielle,4.0,3.0,50000.0,16666.666666666668,2.0,2025-10-12,2025-07-27,327.0,404.0,Produit B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3,2,1,2,2.3333333333333335,Dormant,45.0,Moyen
CL058,47,F,Kpalimé,Nouveau,WhatsApp,Trimestrielle,2.0,1.0,10000.0,10000.0,1.0,2025-01-04,2025-01-04,608.0,608.0,Pack Premium,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2025-09-25,1.0,1,1,1,1,1.0,Explorateur à risque,68.0,Élevé
CL059,22,M,Kara,Dormant,WhatsApp,,2.0,1.0,100000.0,100000.0,1.0,2025-09-11,2025-09-11,358.0,358.0,Service X,2.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,1,2,1,1,1.3333333333333333,Explorateur à risque,58.0,Moyen
CL060,38,M,Kpalimé,Régulier,Facebook,Mensuelle,3.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,3.0,2.0,0.0,1.0,1.0,0.0,0.0,,0.0,1,1,4,1,1.0,Prospect / Jamais acheté,5.0,Faible
CL061,19,M,Lomé,Dormant,Boutique,,5.0,3.0,90000.0,30000.0,3.0,2026-04-01,2026-02-27,156.0,189.0,Produit C,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2026-05-28,3.0,3,2,2,3,2.6666666666666665,Dormant,70.0,Élevé
CL062,55,M,Agoè-Nyivé,Dormant,WhatsApp,Occasionnelle,3.0,2.0,115000.0,57500.0,1.0,2025-09-07,2025-06-28,362.0,433.0,Pack Entreprise,3.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,2,2,1,1,1.6666666666666667,Explorateur à risque,45.0,Moyen
CL063,24,M,Kara,Nouveau,Référence,,1.0,2.0,255000.0,127500.0,2.0,2026-07-15,2025-05-14,51.0,478.0,Produit C,4.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,2,4,3,2,2.6666666666666665,Acheteur Opportuniste,36.4,Moyen
CL064,22,F,Kpalimé,Premium,Facebook,Mensuelle,0.0,2.0,100000.0,50000.0,1.0,2026-03-14,2025-12-02,174.0,276.0,Pack Premium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2,2,2,1,1.6666666666666667,Dormant,69.0,Élevé
CL065,31,,Atakpamé,Nouveau,Référence,Mensuelle,4.0,3.0,115000.0,38333.333333333336,3.0,2025-12-09,2025-07-17,269.0,414.0,Produit A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3,2,2,4,3.0,Dormant,45.0,Moyen
CL066,31,M,Agoè-Nyivé,Nouveau,Facebook,Mensuelle,5.0,1.0,250000.0,250000.0,1.0,2025-03-11,2025-03-11,542.0,542.0,Produit C,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2026-01-03,1.0,1,3,1,1,1.6666666666666667,Explorateur à risque,60.0,Élevé
CL067,38,M,Agoè-Nyivé,Nouveau,Référence,Trimestrielle,2.0,2.0,265000.0,132500.0,2.0,2026-01-14,2025-06-16,233.0,445.0,Produit B,3.0,1.0,0.0,1.0,0.0,3.0,8.0,2026-08-01,2.0,2,4,2,2,2.6666666666666665,Explorateur à risque,73.0,Élevé
CL068,31,F,Lomé,Régulier,Boutique,,4.0,1.0,35000.0,35000.0,1.0,2025-06-09,2025-06-09,452.0,452.0,Produit A,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2026-07-20,2.0,1,1,1,1,1.0,Explorateur à risque,70.0,Élevé
CL069,27,F,Kara,Dormant,Boutique,,1.0,2.0,60000.0,30000.0,2.0,2026-03-17,2026-02-25,171.0,191.0,Pack Entreprise,3.5,2.0,0.0,1.0,1.0,1.0,2.0,2025-03-21,1.0,2,2,2,2,2.0,Dormant,71.0,Élevé
CL070,38,M,Tsévié,Nouveau,Référence,Occasionnelle,1.0,3.0,280000.0,93333.33333333333,3.0,2026-05-19,2026-02-28,108.0,188.0,Produit A,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2026-04-14,1.0,3,4,3,4,3.6666666666666665,Régulier,69.2,Élevé
CL071,35,M,Lomé,Nouveau,Facebook,Trimestrielle,5.0,4.0,175000.0,43750.0,2.0,2026-08-22,2025-04-25,13.0,497.0,Produit A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4,3,4,2,3.0,Brand Lover,5.2,Faible
CL072,42,M,Kpalimé,Dormant,WhatsApp,Trimestrielle,1.0,1.0,100000.0,100000.0,1.0,2025-05-20,2025-05-20,472.0,472.0,Produit A,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2026-03-05,1.0,1,2,1,1,1.3333333333333333,Explorateur à risque,76.0,Élevé
CL073,27,M,Tsévié,Dormant,Site web,Trimestrielle,1.6666666666666667,1.0,15000.0,15000.0,1.0,2026-04-12,2026-04-12,145.0,145.0,Produit B,1.6666666666666667,3.0,0.0,2.0,1.0,1.0,2.0,2025-09-20,1.0,1,1,2,1,1.0,Acheteur Opportuniste,70.7,Élevé
CL074,38,F,Lomé,Régulier,Facebook,Trimestrielle,3.0,3.0,385000.0,128333.33333333333,3.0,2026-05-12,2025-01-15,115.0,597.0,Produit C,5.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,3,4,3,4,3.6666666666666665,Régulier,45.0,Moyen
CL075,55,F,Atakpamé,Premium,Site web,Occasionnelle,1.0,5.0,495000.0,99000.0,3.0,2026-09-04,2025-04-24,0.0,498.0,Produit B,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,4,4,4,4,4.0,Régulier,16.0,Faible
CL076,24,M,Agoè-Nyivé,Dormant,Facebook,Trimestrielle,5.0,2.0,125000.0,62500.0,2.0,2026-07-10,2025-09-27,56.0,342.0,Service X,5.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,2,3,3,2,2.3333333333333335,Acheteur Opportuniste,22.4,Faible
CL077,27,M,Lomé,Dormant,Instagram,,2.0,1.0,25000.0,25000.0,1.0,2025-04-05,2025-04-05,517.0,517.0,Pack Entreprise,3.5,4.0,0.0,0.0,4.0,0.0,0.0,,0.0,1,1,1,1,1.0,Explorateur à risque,58.0,Moyen
CL078,31,F,Kara,Nouveau,Site web,Occasionnelle,4.0,3.0,330000.0,110000.0,3.0,2026-08-23,2025-06-29,12.0,432.0,Produit C,3.3333333333333335,3.0,0.0,2.0,1.0,0.0,0.0,,0.0,3,4,4,4,3.6666666666666665,Régulier,4.8,Faible
CL079,38,,Atakpamé,Régulier,Référence,Occasionnelle,5.0,2.0,115000.0,57500.0,2.0,2025-06-25,2025-04-10,436.0,512.0,Produit C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2,3,1,2,2.3333333333333335,Explorateur à risque,45.0,Moyen
CL080,19,,Kara,Dormant,Boutique,Mensuelle,0.0,2.0,20000.0,10000.0,2.0,2026-05-26,2025-12-04,101.0,274.0,Produit C,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2026-03-07,1.0,2,1,3,2,1.6666666666666667,Acheteur Opportuniste,74.4,Élevé
CL081,47,M,Kpalimé,Régulier,Facebook,,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,5.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,1,1,4,1,1.0,Prospect / Jamais acheté,5.0,Faible
CL082,47,,Tsévié,Dormant,Référence,Mensuelle,3.0,3.0,95000.0,31666.666666666668,2.0,2026-04-18,2025-03-11,139.0,542.0,Service X,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2026-06-06,0.0,3,2,2,2,2.3333333333333335,Régulier,45.0,Moyen
CL083,35,F,Tsévié,Dormant,Instagram,Mensuelle,4.0,2.0,285000.0,142500.0,1.0,2025-11-20,2025-06-12,288.0,449.0,Service X,1.5,2.0,0.0,1.0,1.0,1.0,1.0,2025-06-09,1.0,2,4,1,1,2.3333333333333335,Explorateur à risque,55.0,Moyen
CL084,47,,Tsévié,Premium,Site web,Mensuelle,2.0,3.0,275000.0,91666.66666666667,2.0,2026-05-30,2025-02-26,97.0,555.0,Service X,5.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,3,4,3,2,3.0,Régulier,46.8,Moyen
CL085,27,,Kpalimé,Premium,Site web,Trimestrielle,1.0,2.0,60000.0,30000.0,2.0,2026-06-24,2025-03-24,72.0,529.0,Produit B,1.0,2.0,0.0,1.0,1.0,0.0,0.0,,0.0,2,2,3,2,2.0,Acheteur Opportuniste,44.8,Moyen
CL086,24,M,Atakpamé,Premium,Site web,Occasionnelle,3.0,1.0,15000.0,15000.0,1.0,2025-03-06,2025-03-06,547.0,547.0,Produit A,4.0,1.0,0.0,0.0,1.0,1.0,1.0,2026-05-07,1.0,1,1,1,1,1.0,Explorateur à risque,60.0,Élevé
CL087,42,M,Atakpamé,Dormant,Site web,Trimestrielle,4.0,4.0,370000.0,92500.0,3.0,2026-02-16,2025-04-26,200.0,496.0,Service X,4.0,1.0,0.0,0.0,1.0,1.0,1.0,2026-06-23,1.0,4,4,2,4,4.0,Dormant,55.0,Moyen
CL088,19,,Lomé,Nouveau,Référence,Mensuelle,1.0,3.0,50000.0,16666.666666666668,1.0,2026-05-11,2026-02-07,116.0,209.0,Service X,2.0,2.0,0.0,1.0,1.0,0.0,0.0,,0.0,3,2,3,1,2.0,Régulier,61.0,Élevé
CL089,55,F,Agoè-Nyivé,Premium,Instagram,Trimestrielle,0.0,3.0,325000.0,108333.33333333333,2.0,2025-12-27,2025-01-21,251.0,591.0,Produit C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3,4,2,2,3.0,Dormant,69.0,Élevé
CL090,29,M,Lomé,Premium,Instagram,Occasionnelle,3.0,1.0,25000.0,25000.0,1.0,2026-03-05,2026-03-05,183.0,183.0,Produit A,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2025-04-27,0.0,1,1,2,1,1.0,Explorateur à risque,50.0,Moyen
CL091,38,F,Atakpamé,Régulier,Site web,,2.0,4.0,85000.0,21250.0,2.0,2025-11-19,2025-03-09,289.0,544.0,Pack Entreprise,2.0,2.0,0.0,1.0,1.0,1.0,2.0,2025-04-16,1.0,4,2,1,3,3.0,Dormant,63.0,Élevé
CL092,42,F,Kpalimé,Nouveau,Référence,,4.0,1.0,10000.0,10000.0,1.0,2025-06-07,2025-06-07,454.0,454.0,Service X,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,1,1,1,1,1.0,Explorateur à risque,50.0,Moyen
